;Bank;;Navn;Nominell;Sikkerhetsgebyr;Etableringsgebyr;Termin;Effektiv
370;Flekkefjord Sparebank;;Lån fritidsbolig;5,40;750;0;50;5,60
371;SpareBank 1 Helgeland;;Hyttelån;5,45;0;0;65;5,67
372;Sogn Sparebank;;Bustadlån 85% Sogn Sparebank;5,45;500;0;65;5,67
373;Jernbanepersonalets Bank og Forsikring;;Boliglån over 75%;5,50;1000;0;65;5,72
374;Ørland Sparebank;;Boliglån 85%;5,50;2000;1000;65;5,72
375;Skudenes & Aakra Sparebank;;Utleiebolig;5,64;750;1500;60;5,86
376;Luster Sparebank;;Bustadlån inntil 85 %;5,65;750;0;60;5,87
377;Lillesands Sparebank;;Boliglån;5,75;1000;0;60;5,98
378;Larvikbanken;;Eika boligkreditt;5,90;0;0;55;6,13
379;Nordax Bank AB (publ);;Nordax Boliglån;5,99;0;10000;35;6,20
380;Bluestep Bank AB (publ), filial Oslo;;Bluestep Boliglån;6,15;0;20000;25;6,36
381;Kraft Bank ASA;;Refinansieringslån med sikkerhet;6,25;0;0;75;6,53
382;SpareBank 1 Østlandet;;Lån til tomt;6,40;1000;0;60;6,67
383;Larvikbanken;;Boliglån 85 %;6,45;0;0;55;6,71
384;INSTABANK ASA;;Lån med sikkerhet;6,49;0;5000;50;6,75
385;Vekselbanken;;Bustadlån innanfor 85%;6,65;0;1000;65;6,94
386;Bank2 ASA;;Refinansiering;6,74;0;20000;75;7,05
387;yA Bank AS (Resurs Bank AB);;Lån med sikkerhet i bolig;6,99;0;4000;50;7,28
388;Kraft Bank ASA;;2. prioritetslån;7,95;0;0;75;8,34
